UpperStage.UTCGregorian    UpperStage.ElapsedSecs    UpperStage.Earth.Altitude   UpperStage.EcoBrakeFuelTank.FuelMass   UpperStage.TotalMass      
10 Oct 2026 12:00:00.000   0                         659.8638473054662           72                                     552                       
10 Oct 2026 12:01:00.000   59.99999988125637         659.8441508730248           72                                     552                       
10 Oct 2026 12:02:00.000   119.9999997625127         659.7837700046475           71.6941896024465                       551.6941896024465         
10 Oct 2026 12:03:31.350   211.350044910796          659.5982223666279           71.22859304345195                      551.228593043452          
10 Oct 2026 12:05:07.144   307.1443226421252         659.2555805111697           70.74034494007014                      550.7403449400701         
10 Oct 2026 12:06:00.000   359.9999996018596         658.990709460847            70.47094801346452                      550.4709480134645         
10 Oct 2026 12:07:00.000   419.999999483116          658.6182603251191           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:08:31.379   511.3791460753419         657.9056091170678           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:10:07.158   607.158130814787          656.9769473831375           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:11:43.435   703.4347570035607         655.8657279507643           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:13:19.757   799.7567253070883         654.5873928392284           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:14:56.071   896.0709653911181         653.1560480519965           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:16:32.370   992.3702994128689         651.5869675770546           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:18:08.652   1088.652317470405         649.8968299969902           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:19:44.916   1184.91592729697          648.1035782016252           70.47094801346452                      550.4709480134645         
10 Oct 2026 12:21:00.000   1259.999999392312         646.6452386417313           70.47094801346452                      550.4709480134645         
