AfreeleoSat.UTCGregorian   AfreeleoSat.ElapsedSecs   AfreeleoSat.Earth.Altitude   AfreeleoSat.Earth.Latitude   AfreeleoSat.Earth.Longitude   AfreeleoSat.EarthMJ2000Eq.VX   AfreeleoSat.EarthMJ2000Eq.VY   AfreeleoSat.EarthMJ2000Eq.VZ   
10 Oct 2026 12:00:00.000   0                         659.8638472998728            0.1509668562685354           161.2363285506736             0                              7.525654158755396              0                              
10 Oct 2026 12:01:00.000   59.99999988125637         659.8441501417019            0.1507691194139734           164.6616066488544             -0.4831515017866065            7.51014653301699               -5.203319099026328e-06         
10 Oct 2026 12:02:00.000   119.9999997625127         659.785157780605             0.1499483968074807           168.0869238769897             -0.9643190988036998            7.463693171048457              -1.067931463723225e-05         
10 Oct 2026 12:03:31.350   211.350044910796          659.6205416104685            0.1475105300189491           173.3021382333644             -1.688639296246844             7.334008057843922              -1.938292204337882e-05         
10 Oct 2026 12:05:07.144   307.1443226421252         659.352617173523             0.1434364454165105           178.7714281808924             -2.430826752873153             7.122812543751307              -2.872125709829027e-05         
10 Oct 2026 12:06:00.000   359.9999996018596         659.1640224450221            0.1405378442790854           -178.21061185876              -2.829939117142064             6.974080206126336              -3.384796700225978e-05         
10 Oct 2026 12:07:00.000   419.999999483116          658.9157626596416            0.1367008460680332           -174.7845002371328            -3.271999835663757             6.778221954541264              -3.955549611182735e-05         
10 Oct 2026 12:08:31.379   511.3791460753419         658.470171025825             0.1297754493457269           -169.5660418177956            -3.918839693592338             6.426510793710334              -4.784445575619493e-05         
10 Oct 2026 12:10:07.158   607.158130814787          657.9198918397951            0.1211794986287509           -164.0954974657444            -4.556653035251608             5.99191272979703               -5.575566745261115e-05         
10 Oct 2026 12:11:43.435   703.4347570035607         657.2866829633049            0.1112489489086126           -158.5955458945078            -5.149692865708755             5.491527630894231              -6.264638498874275e-05         
10 Oct 2026 12:13:19.757   799.7567253070883         656.5795658674051            0.1001242766230955           -153.0918872936055            -5.688470409523719             4.932426349127266              -6.826842961225596e-05         
10 Oct 2026 12:14:56.071   896.0709653911181         655.8063904043529            0.08792858205173705          -147.587434980725             -6.166915576521497             4.320772116226371              -7.24804862534669e-05          
10 Oct 2026 12:16:32.370   992.3702994128689         654.975429594906             0.07479228436610784          -142.0824940617323            -6.579902205050913             3.663079253449061              -7.521918932313612e-05         
10 Oct 2026 12:18:08.652   1088.652317470405         654.0955278429037            0.06085537236011029          -136.5771114640196            -6.923026683884451             2.966330177270707              -7.649325661382627e-05         
10 Oct 2026 12:19:44.916   1184.91592729697          653.1760279688506            0.04626620053016683          -131.071273951745             -7.19263132272074              2.23791763326602               -7.637467689761138e-05         
10 Oct 2026 12:21:00.000   1259.999999392312         652.4374728352705            0.03453165635008023          -126.7757230093363            -7.350026434305164             1.65264600162888               -7.539203797078035e-05         
